sqft_m2,price,discount,link,rooms,address,date
145.0,1000.0,0,http://idealista.com/inmueble/37397712/,4,"SAN JUAN DE LA CADENA, San Juan, Pamplona/Iruña",2017-10-05
145.0,1200.0,0,http://idealista.com/inmueble/34214003/,4,"calle esquíroz, Iturrama, Pamplona/Iruña",2017-10-05
130.0,850.0,0,http://idealista.com/inmueble/25604539/,3,"calle Monasterio de Cilveti, San Juan, Pamplona/Iruña",2017-10-05
95.0,800.0,50,http://idealista.com/inmueble/38112276/,2,"calle Martín Azpilcueta, San Juan, Pamplona/Iruña",2017-10-05
165.0,1000.0,0,http://idealista.com/inmueble/38026906/,3,"avenida de Sancho El Fuerte, San Juan, Pamplona/Iruña",2017-10-05
150.0,1200.0,0,http://idealista.com/inmueble/26024675/,4,"calle Serafín Olave, Iturrama, Pamplona/Iruña",2017-10-05
90.0,850.0,0,http://idealista.com/inmueble/38196301/,2,"calle Martín Azpilcueta, San Juan, Pamplona/Iruña",2017-10-05
95.0,800.0,0,http://idealista.com/inmueble/38165448/,3,"calle Amado Alonso, Mendebaldea, Pamplona/Iruña",2017-10-05
110.0,850.0,0,http://idealista.com/inmueble/38137092/,3,"avenida de Sancho El Fuerte, Iturrama, Pamplona/Iruña",2017-10-05
100.0,850.0,0,http://idealista.com/inmueble/38024296/,3,"irunlarrea, Mendebaldea, Pamplona/Iruña",2017-10-05
86.0,700.0,0,http://idealista.com/inmueble/37796542/,4,"avenida de Sancho El Fuerte, 38, San Juan, Pamplona/Iruña",2017-10-05
110.0,900.0,0,http://idealista.com/inmueble/37795978/,3,"calle Amado Alonso, 1, Mendebaldea, Pamplona/Iruña",2017-10-05
95.0,700.0,0,http://idealista.com/inmueble/38132468/,3,"calle de Extremadura, Azpilagaña, Pamplona/Iruña",2017-10-05
75.0,545.0,0,http://idealista.com/inmueble/25350019/,1,"calle Santa Vicenta María, 4, San Jorge, Pamplona/Iruña",2017-10-05
120.0,1000.0,0,http://idealista.com/inmueble/37779439/,4,"plaza san juan de la cadena, San Juan, Pamplona/Iruña",2017-10-05
108.0,1200.0,0,http://idealista.com/inmueble/37023667/,2,"plaza PÍO BAROJA, Mendebaldea, Pamplona/Iruña",2017-10-05
140.0,1200.0,0,http://idealista.com/inmueble/34135588/,3,"paseo sarasate, 1º Ensanche, Pamplona/Iruña",2017-10-05
80.0,725.0,0,http://idealista.com/inmueble/25844603/,2,"paseo Premín de Iruña, 22, Mendebaldea, Pamplona/Iruña",2017-10-05
110.0,750.0,0,http://idealista.com/inmueble/38134650/,3,"calle de zapatería, 15, Casco Antiguo, Pamplona/Iruña",2017-10-05
140.0,1400.0,0,http://idealista.com/inmueble/37967401/,6,"calle de los Navas de Tolosa, 1º Ensanche, Pamplona/Iruña",2017-10-05
90.0,850.0,0,http://idealista.com/inmueble/1535358/,3,"calle Iturrama, Iturrama, Pamplona/Iruña",2017-10-05
130.0,900.0,0,http://idealista.com/inmueble/37611636/,4,"calle Zolina, Azpilagaña, Pamplona/Iruña",2017-10-05
95.0,1000.0,0,http://idealista.com/inmueble/28445195/,3,"calle Iturrama, Iturrama, Pamplona/Iruña",2017-10-05
85.0,690.0,0,http://idealista.com/inmueble/37283636/,3,"calle de Iturrama, Iturrama, Pamplona/Iruña",2017-10-05
100.0,720.0,0,http://idealista.com/inmueble/36983045/,3,"calle Esquíroz, Iturrama, Pamplona/Iruña",2017-10-05
135.0,780.0,0,http://idealista.com/inmueble/36841616/,3,"calle de Iturrama, Iturrama, Pamplona/Iruña",2017-10-05
95.0,900.0,0,http://idealista.com/inmueble/36786668/,3,"calle de Iñigo Arista, Iturrama, Pamplona/Iruña",2017-10-05
110.0,900.0,0,http://idealista.com/inmueble/36478906/,4,"calle de Iturrama, Iturrama, Pamplona/Iruña",2017-10-05
120.0,900.0,0,http://idealista.com/inmueble/26304093/,4,"calle Iturrama, Iturrama, Pamplona/Iruña",2017-10-05
115.0,1000.0,0,http://idealista.com/inmueble/32749139/,4,"calle pedro i, Iturrama, Pamplona/Iruña",2017-10-05
115.0,850.0,0,http://idealista.com/inmueble/27714322/,4,"calle Irunlarrea, Mendebaldea, Pamplona/Iruña",2017-10-05
90.0,700.0,0,http://idealista.com/inmueble/29601791/,3,"calle Pintor Asarta, Iturrama, Pamplona/Iruña",2017-10-05
120.0,890.0,0,http://idealista.com/inmueble/34244213/,4,"calle esquíroz, Iturrama, Pamplona/Iruña",2017-10-05
125.0,900.0,0,http://idealista.com/inmueble/31037678/,4,"calle pedro i, Iturrama, Pamplona/Iruña",2017-10-05
120.0,920.0,0,http://idealista.com/inmueble/26303928/,4,"plaza Felix Huarte, Iturrama, Pamplona/Iruña",2017-10-05
115.0,1100.0,0,http://idealista.com/inmueble/29639064/,4,"calle Iñigo Arista, Iturrama, Pamplona/Iruña",2017-10-05
115.0,800.0,0,http://idealista.com/inmueble/29607036/,4,"calle San Juan Bosco, Iturrama, Pamplona/Iruña",2017-10-05
70.0,690.0,0,http://idealista.com/inmueble/38163785/,3,"avenida de Sancho El Fuerte, Iturrama, Pamplona/Iruña",2017-10-05
125.0,850.0,0,http://idealista.com/inmueble/38132045/,3,"calle Monasterio de Zilbeti, San Juan, Pamplona/Iruña",2017-10-05
120.0,800.0,0,http://idealista.com/inmueble/38057290/,4,"avenida de Zaragoza, Milagrosa, Pamplona/Iruña",2017-10-05
51.0,575.0,0,http://idealista.com/inmueble/38044265/,1,"calle Valle de Aranguren, Azpilagaña, Pamplona/Iruña",2017-10-05
110.0,750.0,0,http://idealista.com/inmueble/37956780/,3,"paseo Donantes de Sangre, 1, Chantrea, Pamplona/Iruña",2017-10-05
120.0,900.0,0,http://idealista.com/inmueble/25743115/,3,"Iturrama, Pamplona/Iruña",2017-10-05
112.0,900.0,0,http://idealista.com/inmueble/38245845/,3,"avenida de Sancho El Fuerte, Iturrama, Pamplona/Iruña",2017-10-05
75.0,750.0,0,http://idealista.com/inmueble/31015396/,3,"Iturrama, Pamplona/Iruña",2017-10-05
65.0,650.0,0,http://idealista.com/inmueble/26243144/,2,"San Juan, Pamplona/Iruña",2017-10-05
130.0,800.0,0,http://idealista.com/inmueble/33816582/,3,"avenida sancho el fuerte, Iturrama, Pamplona/Iruña",2017-10-05
94.0,860.0,0,http://idealista.com/inmueble/38156563/,3,"calle vidángoz, 24, Rochapea, Pamplona/Iruña",2017-10-05
75.0,680.0,0,http://idealista.com/inmueble/38156533/,2,"calle monasterio viejo de san pedro, 9, Rochapea, Pamplona/Iruña",2017-10-05
80.0,650.0,0,http://idealista.com/inmueble/31540975/,3,"amaia, 1º Ensanche, Pamplona/Iruña",2017-10-05
95.0,750.0,0,http://idealista.com/inmueble/37882948/,3,"calle Monasterio de Zilbeti, San Juan, Pamplona/Iruña",2017-10-05
106.0,1000.0,0,http://idealista.com/inmueble/36209331/,2,"plaza de La Libertad, 2º Ensanche, Pamplona/Iruña",2017-10-05
120.0,1100.0,0,http://idealista.com/inmueble/25753557/,4,"calle Sancho Ramirez, Iturrama, Pamplona/Iruña",2017-10-05
55.0,600.0,0,http://idealista.com/inmueble/36156180/,2,"calle iturralde y suit, 24, 2º Ensanche, Pamplona/Iruña",2017-10-05
45.0,575.0,0,http://idealista.com/inmueble/38248677/,1,"SAN NICOLAS, 11, Casco Antiguo, Pamplona/Iruña",2017-10-05
130.0,800.0,0,http://idealista.com/inmueble/38102609/,3,"calle ermitagaña, Mendebaldea, Pamplona/Iruña",2017-10-05
189.0,1300.0,0,http://idealista.com/inmueble/37950207/,5,"Iturrama, Pamplona/Iruña",2017-10-05
