id,url,longitude,latitude,found
airbnb14911985,https://www.airbnb.es/rooms/14911985,-2.0400213365954327,42.91241024378063,2017-08-14 22:50:13.548000
airbnb1088773,https://www.airbnb.es/rooms/1088773,-2.0630025125494096,42.90490752888327,2017-08-14 22:50:17.306000
airbnb13335823,https://www.airbnb.es/rooms/13335823,-2.0003746415128814,42.998996212058046,2017-08-15 21:00:03.849000
airbnb19887412,https://www.airbnb.es/rooms/19887412,-2.0098847686054957,43.020425246243164,2017-08-15 20:59:55.633000
airbnb3725581,https://www.airbnb.es/rooms/3725581,-2.0165550141391715,43.020305944231765,2017-08-15 20:59:47.250000
airbnb5674536,https://www.airbnb.es/rooms/5674536,-1.9915622918826794,43.01427195540289,2017-08-15 20:59:47.250000
airbnb2848772,https://www.airbnb.es/rooms/2848772,-2.001987843740086,43.01842910826626,2017-08-15 20:59:47.250000
airbnb15785032,https://www.airbnb.es/rooms/15785032,-1.9947618409319559,43.01186875866337,2017-08-15 21:00:12.046000
airbnb14310976,https://www.airbnb.es/rooms/14310976,-1.973931120662811,43.021071700747015,2017-08-15 21:00:03.848000
airbnb19661117,https://www.airbnb.es/rooms/19661117,-1.9788305847420053,43.023230312608725,2017-08-15 20:59:47.249000
airbnb19547808,https://www.airbnb.es/rooms/19547808,-1.980445959488032,43.02776216383816,2017-08-15 20:59:42.701000
airbnb2312996,https://www.airbnb.es/rooms/2312996,-1.987231058137905,43.03969637143725,2017-08-15 20:59:42.702000
airbnb8301628,https://www.airbnb.es/rooms/8301628,-1.9861960054574725,43.04114190078599,2017-08-15 20:59:42.700000
airbnb18284043,https://www.airbnb.es/rooms/18284043,-1.9157041940349835,43.03989944054819,2017-08-15 20:59:34.865000
airbnb16464139,https://www.airbnb.es/rooms/16464139,-1.914558891762033,43.07920300895656,2017-08-15 21:00:12.046000
airbnb7662795,https://www.airbnb.es/rooms/7662795,-1.9167791339082612,43.07923363463979,2017-08-15 20:59:59.747000
airbnb10081335,https://www.airbnb.es/rooms/10081335,-1.9591561616082251,43.083129751646105,2017-08-15 20:59:55.634000
airbnb11370650,https://www.airbnb.es/rooms/11370650,-1.9497252623683934,43.08122099403276,2017-08-15 20:59:38.859000
airbnb15891909,https://www.airbnb.es/rooms/15891909,-1.9516620310983417,43.0847462846669,2017-08-15 20:59:47.250000
airbnb7713061,https://www.airbnb.es/rooms/7713061,-1.9163066982972872,43.08629886468409,2017-08-15 20:59:59.747000
airbnb7713291,https://www.airbnb.es/rooms/7713291,-1.9169300153767304,43.08672168778278,2017-08-15 20:59:59.747000
airbnb18677382,https://www.airbnb.es/rooms/18677382,-1.9131521904034428,43.08181731351863,2017-08-15 20:59:38.859000
airbnb11614878,https://www.airbnb.es/rooms/11614878,-1.913224074301194,43.084241413215615,2017-08-15 21:00:03.849000
airbnb11439371,https://www.airbnb.es/rooms/11439371,-1.9116946628601956,43.084795285172525,2017-08-15 21:00:15.740000
airbnb10507941,https://www.airbnb.es/rooms/10507941,-1.8450286774275642,43.088445558003706,2017-08-15 20:59:42.701000
airbnb474517,https://www.airbnb.es/rooms/474517,-1.8373603054585714,43.086462939160626,2017-08-15 21:08:00.889000
airbnb7393448,https://www.airbnb.es/rooms/7393448,-1.902371058942905,43.007932718293034,2017-08-15 21:00:12.046000
airbnb18281778,https://www.airbnb.es/rooms/18281778,-1.896081741554502,43.00668879104337,2017-08-15 21:00:03.849000
airbnb16557539,https://www.airbnb.es/rooms/16557539,-1.8990318391089,43.01035355338162,2017-08-15 20:59:34.864000
airbnb1099437,https://www.airbnb.es/rooms/1099437,-1.8777998536947798,43.00929900098683,2017-08-15 21:00:08.051000
airbnb19147257,https://www.airbnb.es/rooms/19147257,-1.863697649768313,42.995171236164,2017-08-15 20:59:38.859000
airbnb17451529,https://www.airbnb.es/rooms/17451529,-1.8628506463740817,42.995288610462666,2017-08-15 20:59:51.722000
airbnb17297636,https://www.airbnb.es/rooms/17297636,-1.8630780258451238,42.99498405194137,2017-08-15 21:00:03.849000
airbnb5461310,https://www.airbnb.es/rooms/5461310,-1.8631026754430824,42.9948441611346,2017-08-15 21:00:08.051000
airbnb20520083,https://www.airbnb.es/rooms/20520083,-1.8982683451812328,43.00320526733704,2017-08-24 10:44:52.271000
airbnb2740610,https://www.airbnb.es/rooms/2740610,-1.9256132750791577,42.99048213223577,2017-08-15 20:58:44.355000
